time,speed_ms,speed_kmh,motor_rpm,motor_torque,motor_power,tractive_force,rolling_resistance,drag_force,climbing_force,total_resistance,net_force,acceleration,distance,energy
43.5,23.48474130603371,84.54506870172135,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1283.9401317446298,0.0,1382.0401317446297,0.2639827455311661,0.0005279654910623321,0.8763547858448404,0.047961135392423034
44.0,23.484976423759903,84.54591512553566,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1283.9689967639667,0.0,1382.0689967639667,0.2351177261941757,0.0004702354523883514,0.8880972152772888,0.048516690947978586
44.5,23.485185832420093,84.54666899671234,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1283.9947058299722,0.0,1382.094705829972,0.2094086601887284,0.0004188173203774568,0.8998397558413338,0.049072246503534145
45.0,23.48537234296832,84.54734043468595,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.0176039419352,0.0,1382.1176039419352,0.18651054822566948,0.00037302109645133896,0.9115823953851809,0.049627802059089704
45.5,23.48553845906194,84.54793845262299,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.037998396541,0.0,1382.137998396541,0.16611609361984847,0.00033223218723969696,0.9233251230856885,0.05018335761464526
46.0,23.485686410646384,84.54847107832698,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.0561629057163,0.0,1382.1561629057162,0.14795158444462686,0.00029590316888925374,0.9350679293031156,0.050738913170200815
46.5,23.48581818387132,84.54894546193675,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.0723412652248,0.0,1382.1723412652248,0.1317732249360688,0.0002635464498721376,0.946810805451745,0.051294468725756374
47.0,23.485935547738556,84.5493679718588,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.086750622924,0.0,1382.186750622924,0.11736386723691794,0.00023472773447383587,0.9585537438846474,0.051850024281311934
47.5,23.486040077838428,84.54974428021835,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.099584390289,0.0,1382.199584390289,0.10453009987190853,0.00020906019974381706,0.9702967377910418,0.052405579836867486
48.0,23.486133177492516,84.55007943897306,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.1110148360751,0.0,1382.211014836075,0.09309965408579046,0.00018619930817158093,0.9820397811048744,0.052961135392423045
48.5,23.486216096585906,84.55037794770926,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.1211953967697,0.0,1382.2211953967696,0.0829190933911832,0.0001658381867823664,0.9937828684233941,0.053516690947978604
49.0,23.48628994834135,84.55064381402887,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.1302627347163,0.0,1382.2302627347162,0.07385175544459344,0.00014770351088918686,1.005525994934626,0.05407224650353416
49.5,23.486355724260072,84.55088060733627,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.1383385714398,0.0,1382.2383385714397,0.06577591872110133,0.00013155183744220268,1.0172691563527763,0.054627802059089715
50.0,23.486414307429538,84.55109150674633,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.1455313206945,0.0,1382.2455313206945,0.058583169466373874,0.00011716633893274775,1.0290123488606986,0.055183357614645275
50.5,23.4864664843766,84.55127934375577,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.1519375430976,0.0,1382.2519375430975,0.052176947063344414,0.00010435389412668883,1.0407555690586503,0.055738913170200834
51.0,23.48651295562494,84.55144664024978,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.157643241823,0.0,1382.257643241823,0.0464712483378662,9.29424966757324e-05,1.0524988139186506,0.056294468725756386
51.5,23.48655434509839,84.55159564235421,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.1627250167105,0.0,1382.2627250167104,0.04138947345040833,8.277894690081667e-05,1.0642420807438315,0.056850024281311945
52.0,23.486591208496307,84.55172835058671,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.1672510922456,0.0,1382.2672510922455,0.0368633979153401,7.37267958306802e-05,1.0759853671322304,0.057405579836867504
52.5,23.48662404075327,84.55184654671177,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.1712822331974,0.0,1382.2712822331973,0.032832256963502005,6.566451392700401e-05,1.0877286709445426,0.05796113539242306
53.0,23.486653282683257,84.55195181765973,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.174872560173,0.0,1382.274872560173,0.02924192998784747,5.848385997569494e-05,1.0994719902754018,0.058516690947978615
53.5,23.486679326897384,84.55204557683058,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.1780702760327,0.0,1382.2780702760326,0.026044214128205567,5.2088428256411135e-05,1.1112153234277968,0.059072246503534175
54.0,23.486702523074648,84.55212908306873,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.1809183128971,0.0,1382.280918312897,0.023196177263798745,4.639235452759749e-05,1.1229586688902897,0.059627802059089734
54.5,23.48672318265638,84.55220345756297,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.18345490843,0.0,1382.2834549084298,0.020659581731024446,4.131916346204889e-05,1.1347020253167224,0.060183357614645286
55.0,23.48674158302742,84.55226969889871,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.1857141191206,0.0,1382.2857141191205,0.01840037104034309,3.680074208068618e-05,1.1464453915081436,0.060738913170200845
55.5,23.486757971240127,84.55232869646446,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.187726277453,0.0,1382.287726277453,0.01638821270785229,3.277642541570458e-05,1.1581887663967105,0.061294468725756404
56.0,23.486772567331194,84.5523812423923,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.189518399096,0.0,1382.2895183990959,0.014596091064959182,2.9192182129918366e-05,1.1699321490313532,0.06185002428131196
56.5,23.48678556727578,84.55242804219282,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.191114545572,0.0,1382.2911145455719,0.012999944588955259,2.5999889177910517e-05,1.1816755385650048,0.062405579836867515
57.0,23.486797145618667,84.55246972422721,2746.0,74.0,4.0,1382.3041144901608,98.10000000000001,1284.1925361472756,0.0,1382.2925361472755,0.011578342885286474,2.315668577057295e-05,1.1934189342432284,0.06296113539242307
