Time,Vehicle Speed (m/s),Vehicle Speed (Kmph),Motor Speed (RPM),Gradient (Degree),"Mode, Eco-1, Boost-2",Total Motor Torque (Nm),Total Number of Power Wheel (No),PerMotor Torque (Nm),Motoring Tractive Force F_Tractive (N),Froll (N),Fdrag (N),Fclimb (N),F_Load Resitance  (N),Net Force F_Net(N),Vehicle Acceleration (m/s),Motor Power (kW)
62,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
63,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
64,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
65,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
66,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
67,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
68,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
69,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
70,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
71,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
72,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
73,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
74,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
75,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
76,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
